Spoken form, Cursorless identifier
else, ifElseStatement.alternative
funk, functionDeclaration.body
if only, ifStatement.consequence
if else, ifElseStatement.consequence
else if, elseIfStatement.consequence
link, link.text
try, tryCatchStatement.body
for each, forEach.body
with, with.body
